symbol,previousClose,open,dividendYield,dividendPerShare,exDividendDate,change,changeInPercent,lastTradeDate,daysLow,daysHigh,lastTradePriceOnly,52WeekHigh,52WeekLow,marketCapitalization,sharesOwned,stockExchange,volume,earningsPerShare,epsEstimateCurrentYear,bookValue,ebitda,pricePerSales,pricePerBook,peRatio,pegRatio,pricePerEpsEstimateCurrentYear,pricePerEpsEstimateNextYear,shortRatio
ACB,0.088,0.088,,,,0,0,30/1/17,0.088,0.088,0.088,0.105,0.013,64780000,,ASX,13000,-0.002,0,0.073,-1250000,2126.927,1.205,,0,,,0
ACG,0.07,0.07,,,,0,0.0145,30/1/17,0.07,0.07,0.07,0.2,0.06,14120000,,ASX,35000,-0.02,-0.01,0.02,-5270000,2.77,4.31,,0,,,0
ACL,0.011,0.011,,,,0,0,30/1/17,0.011,0.011,0.011,0.1,0.006,3570000,,ASX,711895,0.066,-0.05,0.008,22100000,0.142,1.375,0.167,0,,,0
ACQ,1.02,1.04,,,,0.01,0.0146,30/1/17,1.03,1.04,1.04,1.09,0.77,,,ASX,178568,,,0,0,,,,0,,,0
ACR,0.315,0.32,0,0,8/18/2015,0,0,30/1/17,0.315,0.33,0.315,0.835,0.3,52450000,,ASX,5147305,0.078,0.03,0.264,19020000,1.837,1.193,4.038,1.4,10.5,,0
ACU,0.026,0.026,,,,0,0,30/1/17,0.026,0.026,0.026,0.084,0.019,4730000,,ASX,16000,-0.041,,0.008,-6640000,158.023,3.25,,0,,,0
ACW,0.059,0.059,,,,0,0,30/1/17,0.059,0.059,0.059,0.1,0.036,35790000,,ASX,8500,-0.006,,0.02,-3260000,9.055,2.95,,0,,,0
ACX,5.65,3.98,,,,-2.55,-0.4513,30/1/17,3.05,3.98,3.1,8.75,3.05,509490000,,ASX,14105304,0.03,0.06,0.58,9410000,7.53,9.76,103.33,3.51,51.67,28.18,0
ADA,2.29,2.3,1.68,0.03,3/16/2016,0.04,0.0175,30/1/17,2.29,2.35,2.33,3.55,1.8,184690000,,ASX,53965,0.12,,0.26,11870000,3.79,8.95,20.09,0,,,0
ADH,1.48,1.485,,,3/15/2016,-0.005,-0.00338,30/1/17,1.475,1.487,1.475,2.75,1.45,244670000,,ASX,103123,0.164,0.13,0.576,45090000,0.97,2.569,8.994,0.79,11.346,9.219,0
